"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2025","5.010","4.740","5.060","4.730","81.68M","2.87%"
"07/31/2025","4.870","4.680","4.980","4.460","131.21M","7.98%"
"07/30/2025","4.510","4.600","4.610","4.510","40.82M","-4.25%"
"07/29/2025","4.710","4.820","4.840","4.680","38.40M","-2.48%"
"07/28/2025","4.830","4.990","5.010","4.820","42.32M","-1.83%"
"07/25/2025","4.920","4.840","5.090","4.790","60.71M","1.86%"
"07/24/2025","4.830","4.920","4.945","4.700","63.26M","-1.83%"
"07/23/2025","4.920","5.190","5.210","4.870","108.25M","-1.80%"
"07/22/2025","5.010","4.645","5.090","4.635","133.09M","10.84%"
"07/21/2025","4.520","4.475","4.670","4.460","58.88M","2.96%"
"07/18/2025","4.390","4.380","4.570","4.280","78.37M","-0.23%"
"07/17/2025","4.400","4.125","4.490","4.110","116.14M","7.06%"
"07/16/2025","4.110","4.190","4.190","3.960","70.10M","-3.29%"
"07/15/2025","4.250","4.250","4.280","4.130","66.26M","1.92%"
"07/14/2025","4.170","4.110","4.220","4.020","122.87M","6.92%"
"07/11/2025","3.900","3.750","4.050","3.695","141.53M","5.69%"
"07/10/2025","3.690","3.550","3.700","3.490","74.02M","6.03%"
"07/09/2025","3.480","3.520","3.590","3.460","26.91M","-0.57%"
"07/08/2025","3.500","3.430","3.520","3.380","43.52M","2.64%"
"07/07/2025","3.410","3.440","3.470","3.390","31.34M","-2.85%"